ID	Age	Embarked	Fare	Pclass	Sex	Survived	
1161	<48.06668;64.03334)	S	lower	3	male	0	
1162	<0.1667;16.13336)	S	lower	3	male	0	
1163		Q	very low	3	male	1	
1164		Q	higher	3	male	0	
1165		C	very low	3	male	0	
1166	<16.13336;32.10002)	C	very low	3	male	0	
1167		C	very low	3	male	0	
1168		Q	very low	3	male	0	
1169		S	very low	3	male	0	
1170	<32.10002;48.06668)	S	very low	3	male	0	
1171		S	very high	3	male	0	
1172	<0.1667;16.13336)	S	very high	3	male	0	
1173		S	very high	3	female	0	
1174		S	very high	3	female	0	
1175		S	very high	3	female	0	
1176		S	very high	3	female	0	
1177		S	very high	3	male	0	
1178		S	very high	3	male	0	
1179		S	very high	3	male	0	
1180		S	very high	3	male	0	
1181		S	very high	3	female	0	
1182	<16.13336;32.10002)	S	lower	3	male	0	
1183	<16.13336;32.10002)	S	very low	3	female	1	
1184	<32.10002;48.06668)	S	lower	3	male	0	
1185		C	higher	3	male	0	
1186		C	higher	3	male	0	
1187		C	higher	3	male	0	
1188	<0.1667;16.13336)	S	avg	3	female	1	
1189	<16.13336;32.10002)	S	avg	3	female	1	
1190	<0.1667;16.13336)	S	avg	3	female	1	
1191	<16.13336;32.10002)	S	lower	3	male	1	
1192	<16.13336;32.10002)	S	lower	3	male	0	
1193	<16.13336;32.10002)	S	lower	3	male	0	
1194		Q	very low	3	male	0	
1195		S	lower	3	male	0	
1196		Q	very low	3	male	0	
1197	<16.13336;32.10002)	S	lower	3	male	1	
1198		S	avg	3	male	0	
1199		Q	very low	3	female	1	
1200		S	lower	3	male	0	
1201		S	lower	3	male	0	
1202	<16.13336;32.10002)	C	very low	3	male	0	
1203		S	lower	3	male	0	
1204	<32.10002;48.06668)	S	lower	3	male	0	
1205	<16.13336;32.10002)	S	lower	3	male	0	
1206	<16.13336;32.10002)	S	very low	3	female	1	
1207	<0.1667;16.13336)	S	higher	3	male	0	
1208	<0.1667;16.13336)	S	higher	3	male	0	
1209	<0.1667;16.13336)	S	higher	3	female	0	
1210	<0.1667;16.13336)	S	higher	3	female	0	
1211	<32.10002;48.06668)	S	higher	3	male	0	
1212	<32.10002;48.06668)	S	higher	3	female	0	
1213		S	lower	3	male	0	
1214		S	lower	3	male	0	
1215		S	lower	3	male	0	
1216		Q	very low	3	male	0	
1217		Q	very low	3	female	1	
1218	<16.13336;32.10002)	S	very low	3	male	0	
1219	<16.13336;32.10002)	S	lower	3	male	0	
1220		S	lower	3	male	0	
1221	<16.13336;32.10002)	S	lower	3	male	0	
1222		S	lower	3	male	0	
1223	<32.10002;48.06668)	C	lower	3	male	0	
1224	<16.13336;32.10002)	S	very low	3	female	1	
1225	<16.13336;32.10002)	S	lower	3	male	0	
1226	<48.06668;64.03334)	S		3	male	0	
1227	<16.13336;32.10002)	S	lower	3	male	0	
1228	<16.13336;32.10002)	S	lower	3	female	0	
1229	<16.13336;32.10002)	S	lower	3	male	1	
1230	<16.13336;32.10002)	S	lower	3	male	0	
1231	<0.1667;16.13336)	S	lower	3	female	0	
1232	<16.13336;32.10002)	S	lower	3	female	0	
1233	<0.1667;16.13336)	S	lower	3	male	1	
1234	<32.10002;48.06668)	S	lower	3	male	1	
1235	<16.13336;32.10002)	S	very low	3	male	0	
1236	<64.03334;80>	S	very low	3	male	0	
1237	<0.1667;16.13336)	S	lower	3	male	1	
1238	<16.13336;32.10002)	S	very low	3	male	0	
1239	<16.13336;32.10002)	S	very low	3	male	1	
1240	<32.10002;48.06668)	S	lower	3	male	0	
1241	<0.1667;16.13336)	C	lower	3	male	1	
1242		C	very low	3	male	0	
1243		C	very low	3	male	0	
1244		C	very low	3	male	0	
1245	<0.1667;16.13336)	C	lower	3	female	1	
1246		S	lower	3	male	0	
1247		S	avg	3	male	0	
1248		S	avg	3	female	1	
1249	<16.13336;32.10002)	S	lower	3	male	0	
1250		Q	very low	3	male	0	
1251		S	lower	3	male	0	
1252	<16.13336;32.10002)	S	lower	3	male	0	
1253	<32.10002;48.06668)	S	lower	3	male	0	
1254		C	very low	3	male	0	
1255	<16.13336;32.10002)	S	very low	3	male	1	
1256		C	very low	3	male	0	
1257	<0.1667;16.13336)	C	avg	3	male	1	
1258	<0.1667;16.13336)	C	avg	3	female	1	
1259	<16.13336;32.10002)	C	avg	3	female	1	
1260	<32.10002;48.06668)	S	lower	3	male	0	
1261	<16.13336;32.10002)	S	lower	3	female	1	
1262	<48.06668;64.03334)	S	lower	3	female	1	
1263		S	avg	3	male	0	
1264	<0.1667;16.13336)	S	avg	3	male	0	
1265	<32.10002;48.06668)	S	avg	3	male	0	
1266	<0.1667;16.13336)	S	higher	3	female	0	
1267	<32.10002;48.06668)	S	higher	3	male	0	
1268	<16.13336;32.10002)	S	higher	3	female	0	
1269		S	lower	3	male	0	
1270	<32.10002;48.06668)	S	lower	3	male	0	
1271	<16.13336;32.10002)	S	lower	3	male	0	
1272	<16.13336;32.10002)	S	lower	3	male	0	
1273	<32.10002;48.06668)	S	lower	3	male	0	
1274	<16.13336;32.10002)	S	avg	3	female	0	
1275	<16.13336;32.10002)	S	avg	3	male	0	
1276	<0.1667;16.13336)	S	avg	3	male	0	
1277	<16.13336;32.10002)	S	avg	3	female	0	
1278	<16.13336;32.10002)	C	very low	3	male	1	
1279	<16.13336;32.10002)	S	lower	3	male	0	
1280	<0.1667;16.13336)	S	lower	3	female	0	
1281	<16.13336;32.10002)	S	lower	3	male	0	
1282	<16.13336;32.10002)	S	lower	3	male	0	
1283		S	lower	3	male	0	
1284		S	very low	3	male	0	
1285		S	lower	3	male	0	
1286	<32.10002;48.06668)	S	lower	3	male	0	
1287	<32.10002;48.06668)	C	very low	3	female	1	
1288	<48.06668;64.03334)	S	very low	3	male	0	
1289	<16.13336;32.10002)	S	very low	3	male	0	
1290	<16.13336;32.10002)	S	very low	3	male	0	
1291	<32.10002;48.06668)	S	very low	3	female	1	
1292		S	lower	3	male	0	
1293		S	very low	3	male	0	
1294		S	lower	3	male	0	
1295	<16.13336;32.10002)	S	avg	3	male	0	
1296	<16.13336;32.10002)	S	very low	3	male	0	
1297	<16.13336;32.10002)	S	lower	3	male	0	
1298		S	very low	3	male	0	
1299	<32.10002;48.06668)	S	lower	3	male	0	
1300	<16.13336;32.10002)	C	avg	3	male	0	
1301	<0.1667;16.13336)	C	avg	3	female	1	
1302	<32.10002;48.06668)	C	very low	3	male	0	
1303		C	very low	3	male	0	
1304		C	avg	3	male	0	
1305	<0.1667;16.13336)	C	avg	3	female	0	
1306		C	avg	3	female	0	
1307	<16.13336;32.10002)	C	very low	3	male	0	
1308	<16.13336;32.10002)	C	very low	3	male	0	
1309	<16.13336;32.10002)	S	lower	3	male	0	
1310							
